job title,company,location,date,job type and skills,link to apply
Magento Developer,Union Coop,"Giza, Egypt ",1 month ago,Full timeExperienced · 3+ Yrs of Exp · Information Technology (IT) · Magento 2 · Magento · JavaScript · XML · PHP · jQuery · IT/Software Development · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/aN7Flq3eBIjM-Magento-Developer-union-coop-Giza-Egypt?o=680&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Senior Front End Developer,Safa Soft,"Maadi, Cairo, Egypt ",1 month ago,Full timeExperienced · 3+ Yrs of Exp · Computer Science · Information Technology (IT) · Software Development · Angular · React · Software · javaScript · Git · Design · Agile,https://wuzzuf.net/jobs/p/nyrEzRbf85E7-Senior-Front-End-Developer-Safa-Soft-Cairo-Egypt?o=681&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
National Sales Manager (Diabetes),So Value Pharma,"Cairo, Egypt ",1 month ago,Full timeManager · 12+ Yrs of Exp · Sales · Sales Skills · Sales Target · Management · Pharmacy · Commercial · Pharmaceutical · Leadership · Communication Skills · Analytical Skills,https://wuzzuf.net/jobs/p/vOE0F3JZoo6U-National-Sales-Manager-Diabetes-So-Value-Pharma-Cairo-Egypt?o=682&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
SEO Specialist - Cairo,My Mall,"Cairo, Egypt ",1 month ago,Full timeEntry Level · 1 - 3 Yrs of Exp · Analytics · campaigns · E-Marketing · Google Ads · Google Analytics · Marketing · Search Engine · PPC · SEM · SEO,https://wuzzuf.net/jobs/p/8UfGh2LgCYRa-SEO-Specialist---Cairo-My-Mall-Cairo-Egypt?o=683&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Senior Full Stack Developer,DevHouse International,"Cairo, Egypt ",1 month ago,Work from homeExperienced · 5+ Yrs of Exp · Full Stack · Software Development · MVC · Git · jQuery · SQL · javaScript · DotNet Core · ASP Core · ASP.NET,https://wuzzuf.net/jobs/p/EgErfdvxC0bG-Senior-Full-Stack-Developer-DevHouse-International-Cairo-Egypt?o=684&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
HR Manager,Femex Egypt,"Sheraton, Cairo, Egypt ",1 month ago,Full timeManager · 7+ Yrs of Exp · males_preferred · Human Resources (HR) · HR · HR Manager · Recruitment · Personnel · English · Business · HR Diploma · Arabic · Education,https://wuzzuf.net/jobs/p/onbFwA2mb30B-HR-Manager-Femex-Egypt-Cairo-Egypt?o=685&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Senior Property Consultant - Heliopolis,Go Green Real Estate,"Heliopolis, Cairo, Egypt ",1 month ago,Full timeExperienced · 3+ Yrs of Exp · Sales · Sales Skills · Sales Target · Communication Skills · Real Estate · Real Estate Sales · Property Sales · English · Sales/Retail,https://wuzzuf.net/jobs/p/ka7ectJhHUYJ-Senior-Property-Consultant---Heliopolis-Go-Green-Real-Estate-Cairo-Egypt?o=686&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Java Developer,Onecard,"Nasr City, Cairo, Egypt ",1 month ago,Full timeEntry Level · 1 - 2 Yrs of Exp · Information Technology (IT) · Software Development · Java · javaScript · Linux · HTML · J2EE · Hibernate · UML · Swing,https://wuzzuf.net/jobs/p/wUnpsh7WTBZA-Java-Developer-Onecard-Cairo-Egypt?o=687&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
SAP - Business Planning Consolidation (BPC) Specialist,Confidential -,"Cairo, Egypt ",1 month ago,Full timeExperienced · 6 - 10 Yrs of Exp · Business · Logistics · SAP · Supply Chain · Finance · Planning · MIS · Computer Science · Computer Engineering · Information Technology (IT),https://wuzzuf.net/jobs/p/omS8sBBkQdPy-SAP---Business-Planning-Consolidation-BPC-Specialist-Cairo-Egypt?o=688&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
QC Microbiology Analyst,National Company For Maize Products,"10th of Ramadan City, Sharqia, Egypt ",5 days ago,Full timeExperienced · 3 - 5 Yrs of Exp · Microbiological Testing · Instrumental Background · Microbiology · Biochemistry · Chemistry · ESLP · Pharmacy · Science · R&D/Science · Manufacturing/Production,https://wuzzuf.net/jobs/p/MJCdTZG2BDQa-QC-Microbiology-Analyst-National-Company-For-Maize-Products-Sharqia-Egypt?o=689&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Talent Acquisition And Management Section Head,Ameco Medical Industries,"10th of Ramadan City, Sharqia, Egypt ",7 days ago,Full timeManager · 5+ Yrs of Exp · Management · Human Resources (HR) · English · Recruitment · Talent Acquisition · Human Resources · Operations/Management,https://wuzzuf.net/jobs/p/4Re2iqqMODGv-Talent-Acquisition-And-Management-Section-Head-Ameco-Medical-Industries-Sharqia-Egypt?o=690&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
